"id_veiculo";"placa";"modelo";"tipo";"grupo";"diaria";"status_atual";"quilometragem";"id_filial_atual"
60;"PLO5S41";"Chevrolet Onix";"Hatch";3;130.0;"Reservado";171.0;18
61;"MNB7T53";"Volkswagen T-Cross";"SUV";2;275.0;"Disponivel";456.0;20
62;"KDA3U18";"Toyota Corolla";"Sedan";1;180.0;"Disponivel";412.55;1
63;"LPE7V29";"Honda Civic";"Sedan";1;195.0;"Alugado";531.2;2
64;"MXT5W31";"Jeep Compass";"SUV";2;310.0;"Reservado";267.9;3
65;"NQB2X44";"Fiat Argo";"Hatch";3;125.0;"Disponivel";198.0;4
66;"PRC8Y57";"Chevrolet Tracker";"SUV";2;295.0;"Disponivel";157.3;5
67;"QSD1Z63";"Volkswagen Virtus";"Sedan";1;185.0;"Manutencao";743.11;6
68;"RTF4A72";"Ford Maverick";"Picape";4;420.0;"Disponivel";185.0;7
69;"SYG6B84";"Hyundai Creta";"SUV";2;285.0;"Alugado";331.22;8
70;"TZH9C15";"Nissan Kicks";"SUV";2;275.0;"Disponivel";288.8;9
71;"UAI3D28";"Renault Sandero";"Hatch";3;115.0;"Disponivel";615.55;10
72;"VBJ5E39";"BMW X1";"Luxo";3;690.0;"Reservado";149.9;11
73;"WCK7F41";"Mercedes GLA 200";"Luxo";3;720.0;"Disponivel";223.1;12
74;"XDL8G52";"Audi A3";"Luxo";3;640.0;"Alugado";309.77;13
75;"YEM2H64";"Chevrolet S10";"Picape";4;395.0;"Disponivel";589.0;14
76;"ZFN4I76";"Fiat Toro";"Picape";4;345.0;"Reservado";402.66;15
77;"AGO6J88";"Peugeot 208";"Hatch";3;135.0;"Disponivel";129.45;16
78;"BHP9K19";"Citroen C4 Cactus";"SUV";2;255.0;"Alugado";365.0;17
79;"CIQ1L27";"Toyota Hilux";"Picape";4;430.0;"Disponivel";812.32;18
80;"DJR3M38";"Honda HR-V";"SUV";2;305.0;"Disponivel";214.0;19
81;"EKS5N49";"Volkswagen Nivus";"SUV";2;240.0;"Reservado";193.15;20
82;"FLT7O51";"Chevrolet Prisma";"Sedan";1;160.0;"Disponivel";484.4;1
83;"GMU8P62";"Renault Logan";"Sedan";1;155.0;"Alugado";578.0;2
84;"HNV2Q74";"Fiat Pulse";"SUV";2;245.0;"Disponivel";177.88;3
85;"IOW4R86";"Jeep Commander";"SUV";2;390.0;"Reservado";95.0;4
86;"JPX6S97";"Hyundai Tucson";"SUV";2;315.0;"Disponivel";428.5;5
87;"KQY7T13";"Nissan Sentra";"Sedan";1;210.0;"Disponivel";236.1;6
88;"LRZ9U25";"Toyota Etios";"Hatch";3;118.0;"Manutencao";864.0;7
89;"MSA1V36";"Chevrolet Montana";"Picape";4;290.0;"Disponivel";345.77;8
90;"NTB3W48";"Volkswagen Amarok";"Picape";4;460.0;"Alugado";731.22;9
91;"OUC5X59";"Fiat Cronos";"Sedan";1;175.0;"Disponivel";252.0;10
92;"PVD7Y61";"Kia Sportage";"SUV";2;330.0;"Reservado";163.55;11
93;"QWE8Z72";"Volvo XC40";"Luxo";3;810.0;"Disponivel";145.0;12
94;"RXF2A84";"Audi Q5";"Luxo";3;890.0;"Disponivel";198.4;13
95;"SYG4B95";"BMW X3";"Luxo";3;940.0;"Alugado";287.15;14
96;"TZH6C17";"Mercedes CLA 250";"Luxo";3;860.0;"Disponivel";221.0;15
97;"UAI8D29";"Chevrolet Captiva";"SUV";2;280.0;"Disponivel";467.8;16
98;"VBJ1E33";"Ford Territory";"SUV";2;340.0;"Reservado";189.44;17
99;"WCK3F45";"Renault Oroch";"Picape";4;305.0;"Disponivel";540.0;18
100;"XDL5G57";"Peugeot Partner";"Van";6;255.0;"Alugado";683.12;19
101;"YEM7H69";"Citroen Berlingo";"Van";6;248.0;"Disponivel";612.98;20
